SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		8-Oct-2015 06:55:09	24C	0.999284	0.000003	0.000416	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	8-Oct-2015 06:55:09	24C	0.999284	0.000003	0.000416	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		8-Oct-2015 06:55:54	24C	0.999179	0.000002	0.000521	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	8-Oct-2015 06:55:54	24C	0.999179	0.000002	0.000521	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		8-Oct-2015 06:56:37	24C	0.999290	0.000002	0.000410	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	8-Oct-2015 06:56:37	24C	0.999290	0.000002	0.000410	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		8-Oct-2015 06:57:21	24C	0.999293	0.000003	0.000407	0.999699	0.000000	0.0000	
4	Calibration#4		0	1	8-Oct-2015 06:57:21	24C	0.999293	0.000003	0.000407	0.999699	0.000000	0.0000	
5	Calibration#5	p158	0		8-Oct-2015 06:58:34	24C	0.999299	0.000002	0.000401	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	8-Oct-2015 06:58:34	24C	0.999299	0.000002	0.000401	0.999700	0.000000	0.0000	
1	ab1510#1	012 1	1		8-Oct-2015 07:00:38	24C	0.996541	0.000002	0.000401	0.996942	34.879660	0.0001	
1	ab1510#1		1	1	8-Oct-2015 07:00:48	24C	0.996516	0.000002	0.000401	0.996916	34.878670	0.0001	
1	ab1510#1		1	2	8-Oct-2015 07:01:29	24C	0.996537	0.000003	0.000401	0.996938	34.879510	0.0001	
1	ab1510#1		1	3	8-Oct-2015 07:02:10	24C	0.996570	0.000002	0.000401	0.996971	34.880790	0.0001	
2	ab1510#2	012 2	1		8-Oct-2015 07:03:36	24C	0.996732	0.000004	0.000401	0.997133	34.887170	0.0002	
2	ab1510#2		1	1	8-Oct-2015 07:03:46	24C	0.996730	0.000002	0.000401	0.997132	34.887120	0.0001	
2	ab1510#2		1	2	8-Oct-2015 07:04:28	24C	0.996721	0.000007	0.000401	0.997122	34.886750	0.0003	
2	ab1510#2		1	3	8-Oct-2015 07:05:11	24C	0.996743	0.000003	0.000401	0.997144	34.887620	0.0001	
3	ab1510#3	012 3	1		8-Oct-2015 07:06:56	24C	0.996829	0.000003	0.000401	0.997230	34.891010	0.0001	
3	ab1510#3		1	1	8-Oct-2015 07:07:06	24C	0.996818	0.000003	0.000401	0.997219	34.890550	0.0001	
3	ab1510#3		1	2	8-Oct-2015 07:07:48	24C	0.996852	0.000003	0.000401	0.997254	34.891930	0.0001	
3	ab1510#3		1	3	8-Oct-2015 07:08:30	24C	0.996818	0.000003	0.000401	0.997219	34.890540	0.0001	
4	ab1510#4	012 4	1		8-Oct-2015 07:09:58	24C	0.996782	0.000002	0.000401	0.997183	34.889160	0.0001	
4	ab1510#4		1	1	8-Oct-2015 07:10:08	24C	0.996415	0.000003	0.000401	0.996816	34.874710	0.0001	
4	ab1510#4		1	2	8-Oct-2015 07:10:51	24C	0.996955	0.000000	0.000401	0.997356	34.895960	0.0000	
4	ab1510#4		1	3	8-Oct-2015 07:11:34	24C	0.996977	0.000003	0.000401	0.997378	34.896820	0.0001	
5	ab1510#5	012 5	1		8-Oct-2015 07:13:20	24C	0.997182	0.000002	0.000401	0.997583	34.904870	0.0001	
5	ab1510#5		1	1	8-Oct-2015 07:13:30	24C	0.997187	0.000003	0.000401	0.997588	34.905090	0.0001	
5	ab1510#5		1	2	8-Oct-2015 07:14:14	24C	0.997163	0.000003	0.000401	0.997564	34.904140	0.0001	
5	ab1510#5		1	3	8-Oct-2015 07:14:56	24C	0.997195	0.000002	0.000401	0.997595	34.905380	0.0001	
6	ab1510#6	012 6	1		8-Oct-2015 07:16:47	24C	0.997694	0.000002	0.000401	0.998095	34.925040	0.0001	
6	ab1510#6		1	1	8-Oct-2015 07:16:57	24C	0.997722	0.000003	0.000401	0.998123	34.926120	0.0001	
6	ab1510#6		1	2	8-Oct-2015 07:17:40	24C	0.997705	0.000002	0.000401	0.998106	34.925450	0.0001	
6	ab1510#6		1	3	8-Oct-2015 07:18:22	24C	0.997657	0.000002	0.000401	0.998058	34.923560	0.0001	
7	ab1510#7	012 7	1		8-Oct-2015 07:19:31	24C	0.998225	0.000001	0.000401	0.998626	34.945940	0.0000	
7	ab1510#7		1	1	8-Oct-2015 07:19:41	24C	0.998210	0.000000	0.000401	0.998611	34.945340	0.0000	
7	ab1510#7		1	2	8-Oct-2015 07:20:23	24C	0.998216	0.000002	0.000401	0.998617	34.945570	0.0001	
7	ab1510#7		1	3	8-Oct-2015 07:21:04	24C	0.998250	0.000000	0.000401	0.998651	34.946910	0.0000	
8	ab1510#8	012 8	1		8-Oct-2015 07:22:32	24C	0.998626	0.000002	0.000401	0.999027	34.961700	0.0001	
8	ab1510#8		1	1	8-Oct-2015 07:22:42	24C	0.998656	0.000002	0.000401	0.999057	34.962870	0.0001	
8	ab1510#8		1	2	8-Oct-2015 07:23:25	24C	0.998653	0.000003	0.000401	0.999054	34.962750	0.0001	
8	ab1510#8		1	3	8-Oct-2015 07:24:07	24C	0.998570	0.000002	0.000401	0.998971	34.959480	0.0001	
9	ab1510#9	012 9	1		8-Oct-2015 07:25:38	24C	0.999102	0.000002	0.000401	0.999503	34.980440	0.0001	
9	ab1510#9		1	1	8-Oct-2015 07:25:48	24C	0.999104	0.000002	0.000401	0.999504	34.980500	0.0001	
9	ab1510#9		1	2	8-Oct-2015 07:26:31	24C	0.999106	0.000002	0.000401	0.999507	34.980580	0.0001	
9	ab1510#9		1	3	8-Oct-2015 07:27:15	24C	0.999097	0.000003	0.000401	0.999498	34.980240	0.0001	
10	ab1510#10	012 10	1		8-Oct-2015 07:28:45	24C	0.999495	0.000001	0.000401	0.999896	34.995910	0.0000	
10	ab1510#10		1	1	8-Oct-2015 07:28:55	24C	0.999500	0.000000	0.000401	0.999901	34.996100	0.0000	
10	ab1510#10		1	2	8-Oct-2015 07:29:37	24C	0.999476	0.000002	0.000401	0.999877	34.995140	0.0001	
10	ab1510#10		1	3	8-Oct-2015 07:30:19	24C	0.999510	0.000000	0.000401	0.999911	34.996490	0.0000	
11	ab1510#11	012 11	1		8-Oct-2015 07:31:45	24C	1.000016	0.000001	0.000401	1.000416	35.016400	0.0000	
11	ab1510#11		1	1	8-Oct-2015 07:31:55	24C	1.000021	0.000002	0.000401	1.000422	35.016610	0.0001	
11	ab1510#11		1	2	8-Oct-2015 07:33:05	24C	1.000010	0.000002	0.000401	1.000412	35.016200	0.0001	
11	ab1510#11		1	3	8-Oct-2015 07:33:48	24C	1.000015	0.000000	0.000401	1.000416	35.016380	0.0000	
12	ab1510#12	012 12	1		8-Oct-2015 07:34:58	24C	1.000701	0.000001	0.000401	1.001103	35.043400	0.0000	
12	ab1510#12		1	1	8-Oct-2015 07:35:08	24C	1.000700	0.000002	0.000401	1.001101	35.043320	0.0001	
12	ab1510#12		1	2	8-Oct-2015 07:35:50	24C	1.000700	0.000000	0.000401	1.001101	35.043340	0.0000	
12	ab1510#12		1	3	8-Oct-2015 07:36:32	24C	1.000705	0.000000	0.000401	1.001106	35.043540	0.0000	
