SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		9-Oct-2015 22:22:47	24C	0.999317	0.000002	0.000383	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	9-Oct-2015 22:22:48	24C	0.999317	0.000002	0.000383	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		9-Oct-2015 22:23:35	24C	0.999313	0.000003	0.000387	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	9-Oct-2015 22:23:36	24C	0.999313	0.000003	0.000387	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		9-Oct-2015 22:24:37	24C	0.999319	0.000004	0.000381	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	9-Oct-2015 22:24:38	24C	0.999319	0.000004	0.000381	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		9-Oct-2015 22:25:25	24C	0.999331	0.000004	0.000369	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	9-Oct-2015 22:25:26	24C	0.999331	0.000004	0.000369	0.999700	0.000000	0.0000	
5	Calibration#5	p158	0		9-Oct-2015 22:26:13	24C	0.999322	0.000003	0.000378	0.999701	0.000000	0.0000	
5	Calibration#5		0	1	9-Oct-2015 22:26:13	24C	0.999322	0.000003	0.000378	0.999701	0.000000	0.0000	
6	Calibration#6	p158	0		9-Oct-2015 22:27:01	24C	0.999305	0.000000	0.000395	0.999700	0.000000	0.0000	
6	Calibration#6		0	1	9-Oct-2015 22:27:01	24C	0.999305	0.000000	0.000395	0.999700	0.000000	0.0000	
1	ab1510_018_019#1	018 1	1		9-Oct-2015 22:32:07	24C	0.996273	0.000002	0.000395	0.996667	34.868870	0.0001	
1	ab1510_018_019#1		1	1	9-Oct-2015 22:32:08	24C	0.996273	0.000003	0.000395	0.996668	34.868890	0.0001	
1	ab1510_018_019#1		1	2	9-Oct-2015 22:32:53	24C	0.996276	0.000002	0.000395	0.996670	34.868990	0.0001	
1	ab1510_018_019#1		1	3	9-Oct-2015 22:33:35	24C	0.996269	0.000002	0.000395	0.996664	34.868740	0.0001	
