SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		6-Oct-2015 15:29:30	24C	0.999651	0.000002	0.000049	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	6-Oct-2015 15:29:30	24C	0.999651	0.000002	0.000049	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		6-Oct-2015 15:30:25	24C	0.999678	0.000004	0.000022	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	6-Oct-2015 15:30:26	24C	0.999678	0.000004	0.000022	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		6-Oct-2015 15:31:11	24C	0.999678	0.000003	0.000022	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	6-Oct-2015 15:31:12	24C	0.999678	0.000003	0.000022	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		6-Oct-2015 15:31:56	24C	0.999686	0.000002	0.000014	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	6-Oct-2015 15:31:57	24C	0.999686	0.000002	0.000014	0.999700	0.000000	0.0000	
5	Calibration#5	p158	0		6-Oct-2015 15:32:39	24C	0.999682	0.000002	0.000018	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	6-Oct-2015 15:32:39	24C	0.999682	0.000002	0.000018	0.999700	0.000000	0.0000	
1	ab1510#1	001 2	1		6-Oct-2015 15:48:55	24C	0.997241	0.000002	0.000018	0.997259	34.892150	0.0001	
1	ab1510#1		1	1	6-Oct-2015 15:49:05	24C	0.997242	0.000003	0.000018	0.997260	34.892180	0.0001	
1	ab1510#1		1	2	6-Oct-2015 15:49:52	24C	0.997244	0.000002	0.000018	0.997262	34.892260	0.0001	
1	ab1510#1		1	3	6-Oct-2015 15:50:37	24C	0.997238	0.000003	0.000018	0.997256	34.892010	0.0001	
2	ab1510#2	001 4	1		6-Oct-2015 15:54:35	24C	0.997768	0.000003	0.000018	0.997786	34.912880	0.0001	
2	ab1510#2		1	1	6-Oct-2015 15:54:45	24C	0.997755	0.000005	0.000018	0.997773	34.912360	0.0002	
2	ab1510#2		1	2	6-Oct-2015 15:55:32	24C	0.997770	0.000002	0.000018	0.997788	34.912960	0.0001	
2	ab1510#2		1	3	6-Oct-2015 15:56:39	24C	0.997780	0.000003	0.000018	0.997798	34.913320	0.0001	
3	ab1510#3	001 6	1		6-Oct-2015 16:00:33	24C	0.998308	0.000002	0.000018	0.998326	34.934140	0.0001	
3	ab1510#3		1	1	6-Oct-2015 16:00:43	24C	0.998304	0.000002	0.000018	0.998322	34.933950	0.0001	
3	ab1510#3		1	2	6-Oct-2015 16:01:30	24C	0.998310	0.000002	0.000018	0.998328	34.934180	0.0001	
3	ab1510#3		1	3	6-Oct-2015 16:02:20	24C	0.998312	0.000003	0.000018	0.998330	34.934280	0.0001	
4	ab1510#4	001 8	1		6-Oct-2015 16:04:49	24C	0.998691	0.000002	0.000018	0.998709	34.949210	0.0001	
4	ab1510#4		1	1	6-Oct-2015 16:05:00	24C	0.998689	0.000002	0.000018	0.998707	34.949120	0.0001	
4	ab1510#4		1	2	6-Oct-2015 16:05:47	24C	0.998691	0.000002	0.000018	0.998709	34.949200	0.0001	
4	ab1510#4		1	3	6-Oct-2015 16:06:32	24C	0.998694	0.000002	0.000018	0.998712	34.949310	0.0001	
5	ab1510#5	001 10	1		6-Oct-2015 16:09:07	24C	0.998913	0.000003	0.000018	0.998931	34.957940	0.0001	
5	ab1510#5		1	1	6-Oct-2015 16:09:17	24C	0.998914	0.000002	0.000018	0.998931	34.957950	0.0001	
5	ab1510#5		1	2	6-Oct-2015 16:10:04	24C	0.998918	0.000003	0.000018	0.998936	34.958110	0.0001	
5	ab1510#5		1	3	6-Oct-2015 16:10:49	24C	0.998909	0.000003	0.000018	0.998927	34.957770	0.0001	
6	ab1510#6	001 10	1		6-Oct-2015 16:13:29	24C	0.998883	0.000002	0.000018	0.998901	34.956760	0.0001	
6	ab1510#6		1	1	6-Oct-2015 16:13:39	24C	0.998925	0.000000	0.000018	0.998943	34.958400	0.0000	
6	ab1510#6		1	2	6-Oct-2015 16:14:28	24C	0.998879	0.000003	0.000018	0.998897	34.956590	0.0001	
6	ab1510#6		1	3	6-Oct-2015 16:15:21	24C	0.998846	0.000003	0.000018	0.998864	34.955290	0.0001	
7	ab1510#7	001 13	1		6-Oct-2015 16:18:34	24C	0.999496	0.000002	0.000018	0.999514	34.980880	0.0001	
