SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		12-Oct-2015 04:46:27	24C	0.999322	0.000003	0.000378	0.999701	0.000000	0.0000	
1	Calibration#1		0	1	12-Oct-2015 04:46:27	24C	0.999322	0.000003	0.000378	0.999701	0.000000	0.0000	
2	Calibration#2	p158	0		12-Oct-2015 04:47:13	24C	0.999338	0.000003	0.000362	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	12-Oct-2015 04:47:13	24C	0.999338	0.000003	0.000362	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		12-Oct-2015 04:47:58	24C	0.999332	0.000003	0.000368	0.999701	0.000000	0.0000	
3	Calibration#3		0	1	12-Oct-2015 04:47:59	24C	0.999332	0.000003	0.000368	0.999701	0.000000	0.0000	
4	Calibration#4	p158	0		12-Oct-2015 04:48:43	24C	0.999334	0.000003	0.000366	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	12-Oct-2015 04:48:44	24C	0.999334	0.000003	0.000366	0.999700	0.000000	0.0000	
5	Calibration#5	p158	0		12-Oct-2015 04:49:29	24C	0.999342	0.000005	0.000358	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	12-Oct-2015 04:49:30	24C	0.999342	0.000005	0.000358	0.999700	0.000000	0.0000	
1	ab1510#1	029 1	1		12-Oct-2015 04:57:57	24C	0.995875	0.000001	0.000358	0.996233	34.851770	0.0001	
1	ab1510#1		1	1	12-Oct-2015 04:58:08	24C	0.995885	0.000002	0.000358	0.996243	34.852170	0.0001	
1	ab1510#1		1	2	12-Oct-2015 04:58:51	24C	0.995864	0.000002	0.000358	0.996223	34.851360	0.0001	
1	ab1510#1		1	3	12-Oct-2015 04:59:34	24C	0.995875	0.000000	0.000358	0.996233	34.851780	0.0000	
2	ab1510#2	029 2	1		12-Oct-2015 05:00:50	24C	0.996227	0.000004	0.000358	0.996585	34.865620	0.0001	
2	ab1510#2		1	1	12-Oct-2015 05:01:00	24C	0.996227	0.000005	0.000358	0.996585	34.865630	0.0002	
2	ab1510#2		1	2	12-Oct-2015 05:01:44	24C	0.996229	0.000002	0.000358	0.996587	34.865710	0.0001	
2	ab1510#2		1	3	12-Oct-2015 05:02:28	24C	0.996224	0.000004	0.000358	0.996582	34.865530	0.0001	
3	ab1510#3	029 3	1		12-Oct-2015 05:04:00	24C	0.996692	0.000003	0.000358	0.997050	34.883910	0.0001	
3	ab1510#3		1	1	12-Oct-2015 05:04:10	24C	0.996590	0.000003	0.000358	0.996948	34.879880	0.0001	
3	ab1510#3		1	2	12-Oct-2015 05:05:30	24C	0.996819	0.000002	0.000358	0.997177	34.888910	0.0001	
3	ab1510#3		1	3	12-Oct-2015 05:06:14	24C	0.996667	0.000003	0.000358	0.997026	34.882960	0.0001	
4	ab1510#4	029 5	1		12-Oct-2015 05:07:37	24C	0.996969	0.000002	0.000358	0.997326	34.894790	0.0001	
4	ab1510#4		1	1	12-Oct-2015 05:07:47	24C	0.996981	0.000002	0.000358	0.997339	34.895290	0.0001	
4	ab1510#4		1	2	12-Oct-2015 05:08:31	24C	0.996950	0.000003	0.000358	0.997307	34.894050	0.0001	
4	ab1510#4		1	3	12-Oct-2015 05:09:15	24C	0.996975	0.000002	0.000358	0.997333	34.895050	0.0001	
5	ab1510#5	029 4	1		12-Oct-2015 05:11:28	24C	0.996887	0.000003	0.000358	0.997245	34.891600	0.0001	
5	ab1510#5		1	1	12-Oct-2015 05:11:39	24C	0.996880	0.000003	0.000358	0.997238	34.891290	0.0001	
5	ab1510#5		1	2	12-Oct-2015 05:12:23	24C	0.996890	0.000002	0.000358	0.997248	34.891710	0.0001	
5	ab1510#5		1	3	12-Oct-2015 05:13:07	24C	0.996892	0.000004	0.000358	0.997250	34.891790	0.0002	
6	ab1510#6	029 6	1		12-Oct-2015 05:15:20	24C	0.997329	0.000001	0.000358	0.997687	34.908990	0.0001	
6	ab1510#6		1	1	12-Oct-2015 05:15:30	24C	0.997330	0.000000	0.000358	0.997688	34.909020	0.0000	
6	ab1510#6		1	2	12-Oct-2015 05:16:14	24C	0.997328	0.000003	0.000358	0.997686	34.908940	0.0001	
6	ab1510#6		1	3	12-Oct-2015 05:16:58	24C	0.997330	0.000002	0.000358	0.997688	34.909000	0.0001	
7	ab1510#7	029 7	1		12-Oct-2015 05:18:32	24C	0.998001	0.000002	0.000358	0.998359	34.935410	0.0001	
7	ab1510#7		1	1	12-Oct-2015 05:18:42	24C	0.997999	0.000002	0.000358	0.998357	34.935340	0.0001	
7	ab1510#7		1	2	12-Oct-2015 05:19:26	24C	0.997998	0.000003	0.000358	0.998356	34.935280	0.0001	
7	ab1510#7		1	3	12-Oct-2015 05:20:10	24C	0.998006	0.000002	0.000358	0.998364	34.935620	0.0001	
8	ab1510#8	029 8	1		12-Oct-2015 05:21:49	24C	0.998641	0.000002	0.000358	0.998999	34.960580	0.0001	
8	ab1510#8		1	1	12-Oct-2015 05:21:59	24C	0.998640	0.000000	0.000358	0.998998	34.960560	0.0000	
8	ab1510#8		1	2	12-Oct-2015 05:22:43	24C	0.998637	0.000002	0.000358	0.998995	34.960420	0.0001	
8	ab1510#8		1	3	12-Oct-2015 05:23:27	24C	0.998645	0.000003	0.000358	0.999003	34.960760	0.0001	
9	ab1510#9	029 9	1		12-Oct-2015 05:25:01	24C	0.999546	0.000003	0.000358	0.999904	34.996230	0.0001	
9	ab1510#9		1	1	12-Oct-2015 05:25:11	24C	0.999503	0.000003	0.000358	0.999861	34.994510	0.0001	
9	ab1510#9		1	2	12-Oct-2015 05:25:57	24C	0.999583	0.000004	0.000358	0.999940	34.997650	0.0001	
9	ab1510#9		1	3	12-Oct-2015 05:26:41	24C	0.999554	0.000002	0.000358	0.999912	34.996540	0.0001	
10	ab1510#10	029 10	1		12-Oct-2015 05:28:34	24C	1.000685	0.000003	0.000358	1.001043	35.041040	0.0001	
10	ab1510#10		1	1	12-Oct-2015 05:28:44	24C	1.000701	0.000003	0.000358	1.001060	35.041700	0.0001	
10	ab1510#10		1	2	12-Oct-2015 05:29:29	24C	1.000676	0.000002	0.000358	1.001034	35.040700	0.0001	
10	ab1510#10		1	3	12-Oct-2015 05:30:13	24C	1.000676	0.000004	0.000358	1.001034	35.040720	0.0002	
11	ab1510#11	029 11	1		12-Oct-2015 05:31:35	24C	1.001243	0.000003	0.000358	1.001601	35.063030	0.0001	
11	ab1510#11		1	1	12-Oct-2015 05:31:45	24C	1.001249	0.000003	0.000358	1.001606	35.063240	0.0001	
11	ab1510#11		1	2	12-Oct-2015 05:32:30	24C	1.001241	0.000002	0.000358	1.001600	35.062970	0.0001	
11	ab1510#11		1	3	12-Oct-2015 05:33:14	24C	1.001239	0.000002	0.000358	1.001597	35.062870	0.0001	
12	ab1510#12	029 12	1		12-Oct-2015 05:34:51	24C	1.001251	0.000003	0.000358	1.001609	35.063360	0.0001	
12	ab1510#12		1	1	12-Oct-2015 05:35:02	24C	1.001257	0.000004	0.000358	1.001615	35.063580	0.0001	
12	ab1510#12		1	2	12-Oct-2015 05:35:45	24C	1.001253	0.000003	0.000358	1.001611	35.063410	0.0001	
12	ab1510#12		1	3	12-Oct-2015 05:36:29	24C	1.001245	0.000004	0.000358	1.001603	35.063090	0.0001	
13	ab1510#13	029 13	1		12-Oct-2015 05:37:44	24C	1.001273	0.000003	0.000358	1.001631	35.064200	0.0001	
13	ab1510#13		1	1	12-Oct-2015 05:37:54	24C	1.001276	0.000003	0.000358	1.001634	35.064340	0.0001	
13	ab1510#13		1	2	12-Oct-2015 05:38:38	24C	1.001278	0.000003	0.000358	1.001636	35.064400	0.0001	
13	ab1510#13		1	3	12-Oct-2015 05:39:22	24C	1.001264	0.000002	0.000358	1.001622	35.063860	0.0001	
14	ab1510#14	029 14	1		12-Oct-2015 05:41:18	24C	1.003020	0.000002	0.000358	1.003378	35.133010	0.0001	
14	ab1510#14		1	1	12-Oct-2015 05:41:28	24C	1.003024	0.000002	0.000358	1.003382	35.133170	0.0001	
14	ab1510#14		1	2	12-Oct-2015 05:42:13	24C	1.003015	0.000002	0.000358	1.003373	35.132790	0.0001	
14	ab1510#14		1	3	12-Oct-2015 05:42:58	24C	1.003022	0.000003	0.000358	1.003379	35.133060	0.0001	
15	ab1510#15	029 14	1		12-Oct-2015 05:45:40	24C	1.003061	0.000003	0.000358	1.003419	35.134610	0.0001	
15	ab1510#15		1	1	12-Oct-2015 05:45:50	24C	1.003089	0.000002	0.000358	1.003447	35.135720	0.0001	
15	ab1510#15		1	2	12-Oct-2015 05:46:35	24C	1.002869	0.000002	0.000358	1.003227	35.127050	0.0001	
15	ab1510#15		1	3	12-Oct-2015 05:47:20	24C	1.003224	0.000004	0.000358	1.003582	35.141060	0.0002	
16	ab1510#16	029 19	1		12-Oct-2015 05:48:54	24C	1.033123	0.000003	0.000358	1.033481	36.321810	0.0001	
16	ab1510#16		1	1	12-Oct-2015 05:49:04	24C	1.033153	0.000004	0.000358	1.033511	36.322980	0.0001	
16	ab1510#16		1	2	12-Oct-2015 05:49:48	24C	1.033143	0.000003	0.000358	1.033501	36.322580	0.0001	
16	ab1510#16		1	3	12-Oct-2015 05:50:33	24C	1.033074	0.000003	0.000358	1.033432	36.319870	0.0001	
17	ab1510#17	029 15	1		12-Oct-2015 05:52:06	24C	1.007119	0.000003	0.000358	1.007477	35.294490	0.0001	
17	ab1510#17		1	1	12-Oct-2015 05:52:16	24C	1.007116	0.000002	0.000358	1.007474	35.294380	0.0001	
17	ab1510#17		1	2	12-Oct-2015 05:53:01	24C	1.007127	0.000003	0.000358	1.007485	35.294810	0.0001	
17	ab1510#17		1	3	12-Oct-2015 05:53:45	24C	1.007114	0.000003	0.000358	1.007472	35.294300	0.0001	
18	ab1510#18	029 16	1		12-Oct-2015 05:55:20	24C	1.014506	0.000003	0.000358	1.014864	35.585820	0.0001	
18	ab1510#18		1	1	12-Oct-2015 05:55:30	24C	1.014504	0.000002	0.000358	1.014861	35.585730	0.0001	
18	ab1510#18		1	2	12-Oct-2015 05:56:14	24C	1.014502	0.000002	0.000358	1.014860	35.585660	0.0001	
18	ab1510#18		1	3	12-Oct-2015 05:56:58	24C	1.014512	0.000004	0.000358	1.014870	35.586070	0.0001	
19	ab1510#19	029 17	1		12-Oct-2015 05:58:59	24C	1.024016	0.000003	0.000358	1.024374	35.961490	0.0001	
19	ab1510#19		1	1	12-Oct-2015 05:59:10	24C	1.024018	0.000004	0.000358	1.024376	35.961550	0.0001	
19	ab1510#19		1	2	12-Oct-2015 05:59:54	24C	1.024019	0.000002	0.000358	1.024376	35.961570	0.0001	
19	ab1510#19		1	3	12-Oct-2015 06:00:38	24C	1.024013	0.000003	0.000358	1.024371	35.961350	0.0001	
20	ab1510#20	029 18	1		12-Oct-2015 06:02:37	24C	1.033180	0.000003	0.000358	1.033538	36.324050	0.0001	
20	ab1510#20		1	1	12-Oct-2015 06:02:48	24C	1.033183	0.000003	0.000358	1.033541	36.324170	0.0001	
20	ab1510#20		1	2	12-Oct-2015 06:03:54	24C	1.033176	0.000005	0.000358	1.033534	36.323880	0.0002	
20	ab1510#20		1	3	12-Oct-2015 06:04:38	24C	1.033182	0.000003	0.000358	1.033540	36.324120	0.0001	
21	ab1510#21	029 19	1		12-Oct-2015 06:24:07	24C	1.038296	0.000002	0.000358	1.038654	36.526710	0.0001	
21	ab1510#21		1	1	12-Oct-2015 06:24:17	24C	1.038286	0.000002	0.000358	1.038643	36.526300	0.0001	
21	ab1510#21		1	2	12-Oct-2015 06:25:01	24C	1.038304	0.000002	0.000358	1.038662	36.527050	0.0001	
21	ab1510#21		1	3	12-Oct-2015 06:25:45	24C	1.038297	0.000004	0.000358	1.038656	36.526780	0.0001	
22	ab1510#22	029 20	1		12-Oct-2015 06:27:24	24C	1.040787	0.000002	0.000358	1.041145	36.625490	0.0001	
22	ab1510#22		1	1	12-Oct-2015 06:27:35	24C	1.040785	0.000002	0.000358	1.041143	36.625410	0.0001	
22	ab1510#22		1	2	12-Oct-2015 06:28:18	24C	1.040779	0.000003	0.000358	1.041137	36.625180	0.0001	
22	ab1510#22		1	3	12-Oct-2015 06:29:01	24C	1.040797	0.000003	0.000358	1.041155	36.625890	0.0001	
23	ab1510#23	029 21	1		12-Oct-2015 06:30:52	24C	1.041999	0.000003	0.000358	1.042357	36.673510	0.0001	
23	ab1510#23		1	1	12-Oct-2015 06:31:02	24C	1.041994	0.000002	0.000358	1.042352	36.673330	0.0001	
23	ab1510#23		1	2	12-Oct-2015 06:31:45	24C	1.041998	0.000004	0.000358	1.042357	36.673520	0.0002	
23	ab1510#23		1	3	12-Oct-2015 06:32:28	24C	1.042003	0.000003	0.000358	1.042361	36.673690	0.0001	
24	ab1510#24	029 22	1		12-Oct-2015 06:35:44	24C	1.043467	0.000003	0.000358	1.043825	36.731770	0.0001	
24	ab1510#24		1	1	12-Oct-2015 06:35:54	24C	1.043464	0.000003	0.000358	1.043822	36.731650	0.0001	
24	ab1510#24		1	2	12-Oct-2015 06:36:38	24C	1.043463	0.000002	0.000358	1.043822	36.731630	0.0001	
24	ab1510#24		1	3	12-Oct-2015 06:37:23	24C	1.043473	0.000003	0.000358	1.043831	36.732030	0.0001	
25	ab1510#25	029 23	1		12-Oct-2015 06:39:08	24C	1.039062	0.000002	0.000358	1.039420	36.557080	0.0001	
25	ab1510#25		1	1	12-Oct-2015 06:39:18	24C	1.039057	0.000003	0.000358	1.039416	36.556910	0.0001	
25	ab1510#25		1	2	12-Oct-2015 06:40:08	24C	1.039057	0.000003	0.000358	1.039415	36.556880	0.0001	
25	ab1510#25		1	3	12-Oct-2015 06:40:57	24C	1.039071	0.000002	0.000358	1.039429	36.557440	0.0001	
26	ab1510#26	029 24	1		12-Oct-2015 06:42:36	24C	1.036862	0.000003	0.000358	1.037220	36.469890	0.0001	
26	ab1510#26		1	1	12-Oct-2015 06:42:46	24C	1.036858	0.000003	0.000358	1.037216	36.469740	0.0001	
26	ab1510#26		1	2	12-Oct-2015 06:43:30	24C	1.036865	0.000004	0.000358	1.037223	36.470010	0.0002	
26	ab1510#26		1	3	12-Oct-2015 06:44:13	24C	1.036863	0.000003	0.000358	1.037221	36.469930	0.0001	
27	ab1510#27	028 1	1		12-Oct-2015 10:39:57	24C	0.996316	0.000004	0.000358	0.996674	34.869110	0.0001	
27	ab1510#27		1	1	12-Oct-2015 10:40:07	24C	0.996271	0.000004	0.000358	0.996629	34.867360	0.0002	
27	ab1510#27		1	2	12-Oct-2015 10:41:12	24C	0.996333	0.000004	0.000358	0.996691	34.869790	0.0002	
27	ab1510#27		1	3	12-Oct-2015 10:42:11	24C	0.996343	0.000003	0.000358	0.996701	34.870190	0.0001	
28	ab1510#28	028 2	1		12-Oct-2015 10:46:12	24C	0.996326	0.000003	0.000358	0.996684	34.869520	0.0001	
28	ab1510#28		1	1	12-Oct-2015 10:46:22	24C	0.996329	0.000002	0.000358	0.996687	34.869620	0.0001	
28	ab1510#28		1	2	12-Oct-2015 10:47:15	24C	0.996324	0.000002	0.000358	0.996682	34.869420	0.0001	
28	ab1510#28		1	3	12-Oct-2015 10:48:05	24C	0.996326	0.000003	0.000358	0.996684	34.869520	0.0001	
29	ab1510#29	028 3	1		12-Oct-2015 10:51:20	24C	0.996626	0.000002	0.000358	0.996984	34.881330	0.0001	
29	ab1510#29		1	1	12-Oct-2015 10:51:30	24C	0.996685	0.000003	0.000358	0.997043	34.883620	0.0001	
