SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		11-Oct-2015 23:29:08	24C	0.999316	0.000004	0.000384	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	11-Oct-2015 23:29:08	24C	0.999316	0.000004	0.000384	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		11-Oct-2015 23:29:54	24C	0.999304	0.000002	0.000396	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	11-Oct-2015 23:29:54	24C	0.999304	0.000002	0.000396	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		11-Oct-2015 23:30:44	24C	0.999317	0.000003	0.000383	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	11-Oct-2015 23:30:44	24C	0.999317	0.000003	0.000383	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		11-Oct-2015 23:31:30	24C	0.999319	0.000002	0.000381	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	11-Oct-2015 23:31:31	24C	0.999319	0.000002	0.000381	0.999700	0.000000	0.0000	
5	Calibration#5	p158	0		11-Oct-2015 23:32:17	24C	0.999319	0.000002	0.000381	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	11-Oct-2015 23:32:18	24C	0.999319	0.000002	0.000381	0.999700	0.000000	0.0000	
6	Calibration#6	p158	0		11-Oct-2015 23:33:14	24C	0.999313	0.000003	0.000387	0.999700	0.000000	0.0000	
6	Calibration#6		0	1	11-Oct-2015 23:33:15	24C	0.999313	0.000003	0.000387	0.999700	0.000000	0.0000	
1	ab1510_026_027#1	026 1	1		11-Oct-2015 23:36:14	24C	0.995807	0.000003	0.000387	0.996194	34.850250	0.0001	
1	ab1510_026_027#1		1	1	11-Oct-2015 23:36:16	24C	0.995779	0.000004	0.000387	0.996166	34.849140	0.0002	
1	ab1510_026_027#1		1	2	11-Oct-2015 23:36:58	24C	0.995818	0.000003	0.000387	0.996205	34.850660	0.0001	
1	ab1510_026_027#1		1	3	11-Oct-2015 23:37:51	24C	0.995825	0.000002	0.000387	0.996212	34.850930	0.0001	
2	ab1510_026_027#2	026 1	1		11-Oct-2015 23:39:41	24C	0.995772	0.000004	0.000387	0.996159	34.848850	0.0001	
2	ab1510_026_027#2		1	1	11-Oct-2015 23:39:42	24C	0.995780	0.000003	0.000387	0.996167	34.849160	0.0001	
2	ab1510_026_027#2		1	2	11-Oct-2015 23:40:22	24C	0.995773	0.000004	0.000387	0.996160	34.848900	0.0001	
2	ab1510_026_027#2		1	3	11-Oct-2015 23:41:03	24C	0.995763	0.000005	0.000387	0.996150	34.848500	0.0002	
3	ab1510_026_027#3	026 2	1		11-Oct-2015 23:43:21	24C	0.996403	0.000003	0.000387	0.996790	34.873690	0.0001	
3	ab1510_026_027#3		1	1	11-Oct-2015 23:43:23	24C	0.996392	0.000003	0.000387	0.996779	34.873260	0.0001	
3	ab1510_026_027#3		1	2	11-Oct-2015 23:44:13	24C	0.996408	0.000003	0.000387	0.996795	34.873870	0.0001	
3	ab1510_026_027#3		1	3	11-Oct-2015 23:45:06	24C	0.996410	0.000004	0.000387	0.996797	34.873940	0.0001	
4	ab1510_026_027#4	026 3	1		11-Oct-2015 23:46:38	24C	0.996608	0.000003	0.000387	0.996995	34.881730	0.0001	
4	ab1510_026_027#4		1	1	11-Oct-2015 23:46:41	24C	0.996596	0.000003	0.000387	0.996983	34.881280	0.0001	
4	ab1510_026_027#4		1	2	11-Oct-2015 23:47:32	24C	0.996601	0.000002	0.000387	0.996988	34.881480	0.0001	
4	ab1510_026_027#4		1	3	11-Oct-2015 23:48:13	24C	0.996626	0.000004	0.000387	0.997013	34.882440	0.0002	
5	ab1510_026_027#5	026 4	1		11-Oct-2015 23:50:07	24C	0.996727	0.000003	0.000387	0.997114	34.886440	0.0001	
5	ab1510_026_027#5		1	1	11-Oct-2015 23:50:09	24C	0.996723	0.000004	0.000387	0.997110	34.886280	0.0001	
5	ab1510_026_027#5		1	2	11-Oct-2015 23:50:50	24C	0.996730	0.000004	0.000387	0.997116	34.886540	0.0002	
5	ab1510_026_027#5		1	3	11-Oct-2015 23:51:31	24C	0.996728	0.000002	0.000387	0.997116	34.886500	0.0001	
6	ab1510_026_027#6	026 5	1		11-Oct-2015 23:52:49	24C	0.996842	0.000003	0.000387	0.997229	34.890950	0.0001	
6	ab1510_026_027#6		1	1	11-Oct-2015 23:52:51	24C	0.996859	0.000002	0.000387	0.997246	34.891610	0.0001	
6	ab1510_026_027#6		1	2	11-Oct-2015 23:53:32	24C	0.996833	0.000002	0.000387	0.997221	34.890630	0.0001	
6	ab1510_026_027#6		1	3	11-Oct-2015 23:54:19	24C	0.996833	0.000003	0.000387	0.997221	34.890630	0.0001	
7	ab1510_026_027#7	026 6	1		11-Oct-2015 23:55:51	24C	0.997088	0.000003	0.000387	0.997476	34.900650	0.0001	
7	ab1510_026_027#7		1	1	11-Oct-2015 23:55:52	24C	0.997067	0.000003	0.000387	0.997454	34.899810	0.0001	
7	ab1510_026_027#7		1	2	11-Oct-2015 23:56:35	24C	0.997082	0.000003	0.000387	0.997469	34.900400	0.0001	
7	ab1510_026_027#7		1	3	11-Oct-2015 23:57:18	24C	0.997116	0.000004	0.000387	0.997504	34.901760	0.0002	
8	ab1510_026_027#8	026 7	1		11-Oct-2015 23:59:13	24C	0.997481	0.000003	0.000387	0.997868	34.916090	0.0001	
8	ab1510_026_027#8		1	1	11-Oct-2015 23:59:15	24C	0.997410	0.000002	0.000387	0.997798	34.913320	0.0001	
8	ab1510_026_027#8		1	2	11-Oct-2015 23:59:58	24C	0.997515	0.000003	0.000387	0.997901	34.917430	0.0001	
8	ab1510_026_027#8		1	3	12-Oct-2015 00:00:39	24C	0.997517	0.000004	0.000387	0.997904	34.917520	0.0002	
9	ab1510_026_027#9	026 8	1		12-Oct-2015 00:02:07	24C	0.998222	0.000003	0.000387	0.998609	34.945260	0.0001	
9	ab1510_026_027#9		1	1	12-Oct-2015 00:02:14	24C	0.998225	0.000002	0.000387	0.998612	34.945350	0.0001	
9	ab1510_026_027#9		1	2	12-Oct-2015 00:02:53	24C	0.998219	0.000004	0.000387	0.998606	34.945140	0.0002	
9	ab1510_026_027#9		1	3	12-Oct-2015 00:03:35	24C	0.998223	0.000003	0.000387	0.998610	34.945290	0.0001	
10	ab1510_026_027#10	026 9	1		12-Oct-2015 00:05:10	24C	0.998574	0.000004	0.000387	0.998961	34.959090	0.0001	
10	ab1510_026_027#10		1	1	12-Oct-2015 00:05:13	24C	0.998555	0.000003	0.000387	0.998942	34.958340	0.0001	
10	ab1510_026_027#10		1	2	12-Oct-2015 00:05:54	24C	0.998580	0.000004	0.000387	0.998968	34.959360	0.0002	
10	ab1510_026_027#10		1	3	12-Oct-2015 00:06:35	24C	0.998586	0.000004	0.000387	0.998973	34.959560	0.0001	
11	ab1510_026_027#11	026 10	1		12-Oct-2015 00:07:58	24C	0.999665	0.000003	0.000387	1.000052	35.002040	0.0001	
11	ab1510_026_027#11		1	1	12-Oct-2015 00:07:59	24C	0.999661	0.000004	0.000387	1.000047	35.001870	0.0001	
11	ab1510_026_027#11		1	2	12-Oct-2015 00:08:42	24C	0.999674	0.000002	0.000387	1.000060	35.002380	0.0001	
11	ab1510_026_027#11		1	3	12-Oct-2015 00:09:26	24C	0.999661	0.000004	0.000387	1.000048	35.001880	0.0002	
12	ab1510_026_027#12	026 11	1		12-Oct-2015 00:11:47	24C	1.000583	0.000003	0.000387	1.000970	35.038180	0.0001	
12	ab1510_026_027#12		1	1	12-Oct-2015 00:11:51	24C	1.000581	0.000002	0.000387	1.000968	35.038120	0.0001	
12	ab1510_026_027#12		1	2	12-Oct-2015 00:12:32	24C	1.000583	0.000003	0.000387	1.000970	35.038200	0.0001	
12	ab1510_026_027#12		1	3	12-Oct-2015 00:13:14	24C	1.000583	0.000003	0.000387	1.000970	35.038200	0.0001	
13	ab1510_026_027#13	026 12	1		12-Oct-2015 00:14:49	24C	1.001333	0.000004	0.000387	1.001720	35.067700	0.0001	
13	ab1510_026_027#13		1	1	12-Oct-2015 00:14:51	24C	1.001331	0.000004	0.000387	1.001718	35.067640	0.0002	
13	ab1510_026_027#13		1	2	12-Oct-2015 00:15:31	24C	1.001330	0.000002	0.000387	1.001717	35.067600	0.0001	
13	ab1510_026_027#13		1	3	12-Oct-2015 00:16:17	24C	1.001337	0.000004	0.000387	1.001724	35.067870	0.0002	
14	ab1510_026_027#14	026 12	1		12-Oct-2015 00:17:43	24C	1.001330	0.000003	0.000387	1.001717	35.067580	0.0001	
14	ab1510_026_027#14		1	1	12-Oct-2015 00:17:45	24C	1.001325	0.000004	0.000387	1.001711	35.067380	0.0001	
14	ab1510_026_027#14		1	2	12-Oct-2015 00:18:29	24C	1.001332	0.000002	0.000387	1.001719	35.067660	0.0001	
14	ab1510_026_027#14		1	3	12-Oct-2015 00:19:14	24C	1.001333	0.000003	0.000387	1.001720	35.067700	0.0001	
15	ab1510_026_027#15	026 13	1		12-Oct-2015 00:20:51	24C	1.001609	0.000002	0.000387	1.001996	35.078570	0.0001	
15	ab1510_026_027#15		1	1	12-Oct-2015 00:20:53	24C	1.001567	0.000003	0.000387	1.001954	35.076940	0.0001	
15	ab1510_026_027#15		1	2	12-Oct-2015 00:21:34	24C	1.001623	0.000003	0.000387	1.002010	35.079130	0.0001	
15	ab1510_026_027#15		1	3	12-Oct-2015 00:22:16	24C	1.001636	0.000002	0.000387	1.002023	35.079640	0.0001	
16	ab1510_026_027#16	026 14	1		12-Oct-2015 00:23:53	24C	1.002466	0.000003	0.000387	1.002853	35.112340	0.0001	
16	ab1510_026_027#16		1	1	12-Oct-2015 00:23:55	24C	1.002470	0.000002	0.000387	1.002857	35.112480	0.0001	
16	ab1510_026_027#16		1	2	12-Oct-2015 00:24:36	24C	1.002471	0.000003	0.000387	1.002858	35.112510	0.0001	
16	ab1510_026_027#16		1	3	12-Oct-2015 00:25:28	24C	1.002458	0.000003	0.000387	1.002845	35.112010	0.0001	
17	ab1510_026_027#17	026 15	1		12-Oct-2015 00:27:19	24C	1.005540	0.000003	0.000387	1.005928	35.233430	0.0001	
17	ab1510_026_027#17		1	1	12-Oct-2015 00:27:21	24C	1.005540	0.000002	0.000387	1.005928	35.233430	0.0001	
17	ab1510_026_027#17		1	2	12-Oct-2015 00:28:08	24C	1.005540	0.000003	0.000387	1.005927	35.233410	0.0001	
17	ab1510_026_027#17		1	3	12-Oct-2015 00:28:58	24C	1.005541	0.000004	0.000387	1.005928	35.233450	0.0002	
18	ab1510_026_027#18	026 16	1		12-Oct-2015 00:30:53	24C	1.013818	0.000003	0.000387	1.014205	35.559830	0.0001	
