SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		19-Oct-2015 01:42:50	24C	0.999239	0.000003	0.000461	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	19-Oct-2015 01:42:51	24C	0.999239	0.000003	0.000461	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		19-Oct-2015 01:44:06	24C	0.999229	0.000002	0.000471	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	19-Oct-2015 01:44:07	24C	0.999229	0.000002	0.000471	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		19-Oct-2015 01:45:29	24C	0.999244	0.000004	0.000456	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	19-Oct-2015 01:45:29	24C	0.999244	0.000004	0.000456	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		19-Oct-2015 01:46:13	24C	0.999242	0.000004	0.000458	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	19-Oct-2015 01:46:13	24C	0.999242	0.000004	0.000458	0.999700	0.000000	0.0000	
5	Calibration#5	p158	0		19-Oct-2015 01:47:02	24C	0.999239	0.000003	0.000461	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	19-Oct-2015 01:47:02	24C	0.999239	0.000003	0.000461	0.999700	0.000000	0.0000	
6	Calibration#6	p158	0		19-Oct-2015 01:48:41	24C	0.999224	0.000003	0.000476	0.999700	0.000000	0.0000	
6	Calibration#6		0	1	19-Oct-2015 01:48:41	24C	0.999224	0.000003	0.000476	0.999700	0.000000	0.0000	
1	ab1510_030_035#1	030 1	1		19-Oct-2015 01:51:29	24C	0.996772	0.000004	0.000476	0.997248	34.891700	0.0001	
1	ab1510_030_035#1		1	1	19-Oct-2015 01:51:31	24C	0.996787	0.000004	0.000476	0.997262	34.892280	0.0002	
1	ab1510_030_035#1		1	2	19-Oct-2015 01:52:13	24C	0.996763	0.000003	0.000476	0.997239	34.891330	0.0001	
1	ab1510_030_035#1		1	3	19-Oct-2015 01:54:12	24C	0.996766	0.000004	0.000476	0.997242	34.891470	0.0002	
2	ab1510_030_035#2	030 2	1		19-Oct-2015 01:56:40	24C	0.996871	0.000003	0.000476	0.997347	34.895610	0.0001	
2	ab1510_030_035#2		1	1	19-Oct-2015 01:56:42	24C	0.996875	0.000003	0.000476	0.997351	34.895760	0.0001	
2	ab1510_030_035#2		1	2	19-Oct-2015 01:57:20	24C	0.996873	0.000003	0.000476	0.997349	34.895680	0.0001	
2	ab1510_030_035#2		1	3	19-Oct-2015 01:57:56	24C	0.996866	0.000003	0.000476	0.997342	34.895390	0.0001	
3	ab1510_030_035#3	030 2	1		19-Oct-2015 02:00:13	24C	0.996870	0.000003	0.000476	0.997346	34.895560	0.0001	
3	ab1510_030_035#3		1	1	19-Oct-2015 02:00:15	24C	0.996874	0.000003	0.000476	0.997350	34.895720	0.0001	
3	ab1510_030_035#3		1	2	19-Oct-2015 02:01:00	24C	0.996849	0.000002	0.000476	0.997325	34.894720	0.0001	
3	ab1510_030_035#3		1	3	19-Oct-2015 02:01:46	24C	0.996887	0.000003	0.000476	0.997363	34.896230	0.0001	
4	ab1510_030_035#4	030 4	1		19-Oct-2015 02:03:51	24C	1.000477	0.000002	0.000476	1.000953	35.037520	0.0001	
4	ab1510_030_035#4		1	1	19-Oct-2015 02:04:42	24C	1.000474	0.000002	0.000476	1.000950	35.037420	0.0001	
4	ab1510_030_035#4		1	2	19-Oct-2015 02:05:20	24C	1.000475	0.000002	0.000476	1.000950	35.037420	0.0001	
4	ab1510_030_035#4		1	3	19-Oct-2015 02:06:02	24C	1.000482	0.000003	0.000476	1.000958	35.037710	0.0001	
5	ab1510_030_035#5	030 6	1		19-Oct-2015 02:08:57	24C	0.997895	0.000003	0.000476	0.998371	34.935900	0.0001	
5	ab1510_030_035#5		1	1	19-Oct-2015 02:08:58	24C	0.997894	0.000002	0.000476	0.998370	34.935830	0.0001	
5	ab1510_030_035#5		1	2	19-Oct-2015 02:09:37	24C	0.997897	0.000003	0.000476	0.998373	34.935970	0.0001	
5	ab1510_030_035#5		1	3	19-Oct-2015 02:10:19	24C	0.997896	0.000003	0.000476	0.998372	34.935910	0.0001	
6	ab1510_030_035#6	030 8	1		19-Oct-2015 02:12:27	24C	0.998200	0.000003	0.000476	0.998676	34.947910	0.0001	
6	ab1510_030_035#6		1	1	19-Oct-2015 02:12:29	24C	0.998142	0.000003	0.000476	0.998618	34.945590	0.0001	
6	ab1510_030_035#6		1	2	19-Oct-2015 02:13:07	24C	0.998231	0.000004	0.000476	0.998708	34.949130	0.0002	
6	ab1510_030_035#6		1	3	19-Oct-2015 02:13:45	24C	0.998228	0.000003	0.000476	0.998704	34.948990	0.0001	
7	ab1510_030_035#7	030 10	1		19-Oct-2015 02:15:42	24C	0.998654	0.000004	0.000476	0.999130	34.965740	0.0001	
7	ab1510_030_035#7		1	1	19-Oct-2015 02:15:43	24C	0.998658	0.000004	0.000476	0.999134	34.965900	0.0002	
7	ab1510_030_035#7		1	2	19-Oct-2015 02:16:22	24C	0.998650	0.000003	0.000476	0.999126	34.965600	0.0001	
7	ab1510_030_035#7		1	3	19-Oct-2015 02:17:06	24C	0.998653	0.000004	0.000476	0.999129	34.965720	0.0001	
8	ab1510_030_035#8	030 13	1		19-Oct-2015 02:19:13	24C	0.999446	0.000004	0.000476	0.999922	34.996940	0.0001	
8	ab1510_030_035#8		1	1	19-Oct-2015 02:19:18	24C	0.999444	0.000004	0.000476	0.999920	34.996850	0.0002	
8	ab1510_030_035#8		1	2	19-Oct-2015 02:20:20	24C	0.999435	0.000004	0.000476	0.999911	34.996480	0.0002	
8	ab1510_030_035#8		1	3	19-Oct-2015 02:21:01	24C	0.999460	0.000002	0.000476	0.999936	34.997490	0.0001	
9	ab1510_030_035#9	030 15	1		19-Oct-2015 02:23:26	24C	1.004005	0.000003	0.000476	1.004481	35.176450	0.0001	
9	ab1510_030_035#9		1	1	19-Oct-2015 02:23:31	24C	1.004009	0.000003	0.000476	1.004484	35.176570	0.0001	
9	ab1510_030_035#9		1	2	19-Oct-2015 02:24:11	24C	1.004003	0.000004	0.000476	1.004479	35.176350	0.0001	
9	ab1510_030_035#9		1	3	19-Oct-2015 02:24:54	24C	1.004004	0.000002	0.000476	1.004480	35.176420	0.0001	
10	ab1510_030_035#10	030 17	1		19-Oct-2015 02:26:26	24C	1.030918	0.000003	0.000476	1.031394	36.239180	0.0001	
10	ab1510_030_035#10		1	1	19-Oct-2015 02:26:27	24C	1.030911	0.000002	0.000476	1.031387	36.238890	0.0001	
10	ab1510_030_035#10		1	2	19-Oct-2015 02:27:06	24C	1.030924	0.000004	0.000476	1.031400	36.239410	0.0002	
10	ab1510_030_035#10		1	3	19-Oct-2015 02:27:43	24C	1.030920	0.000003	0.000476	1.031396	36.239250	0.0001	
