SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		7-Oct-2015 23:37:34	24C	0.999406	0.000002	0.000294	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	7-Oct-2015 23:37:35	24C	0.999406	0.000002	0.000294	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		7-Oct-2015 23:39:34	24C	0.998757	0.000003	0.000943	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	7-Oct-2015 23:39:35	24C	0.998757	0.000003	0.000943	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		7-Oct-2015 23:40:39	24C	0.999330	0.000002	0.000370	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	7-Oct-2015 23:40:40	24C	0.999330	0.000002	0.000370	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		7-Oct-2015 23:41:19	24C	0.999314	0.000002	0.000386	0.999700	0.000000	0.0000	
4	Calibration#4		0	1	7-Oct-2015 23:41:19	24C	0.999314	0.000002	0.000386	0.999700	0.000000	0.0000	
5	Calibration#5	p158	0		7-Oct-2015 23:42:12	24C	0.999371	0.000002	0.000329	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	7-Oct-2015 23:42:13	24C	0.999371	0.000002	0.000329	0.999700	0.000000	0.0000	
6	Calibration#6	p158	0		7-Oct-2015 23:43:00	24C	0.999373	0.000003	0.000327	0.999700	0.000000	0.0000	
6	Calibration#6		0	1	7-Oct-2015 23:43:00	24C	0.999373	0.000003	0.000327	0.999700	0.000000	0.0000	
1	ab1510_0010_011#1	010 1	1		7-Oct-2015 23:47:52	24C	0.996361	0.000001	0.000327	0.996688	34.869680	0.0000	
1	ab1510_0010_011#1		1	1	7-Oct-2015 23:47:54	24C	0.996395	0.000000	0.000327	0.996722	34.871010	0.0000	
1	ab1510_0010_011#1		1	2	7-Oct-2015 23:48:30	24C	0.996295	0.000000	0.000327	0.996622	34.867080	0.0000	
1	ab1510_0010_011#1		1	3	7-Oct-2015 23:49:07	24C	0.996394	0.000002	0.000327	0.996721	34.870950	0.0001	
2	ab1510_0010_011#2	010 2	1		7-Oct-2015 23:50:27	24C	0.996537	0.000002	0.000327	0.996864	34.876610	0.0001	
2	ab1510_0010_011#2		1	1	7-Oct-2015 23:50:28	24C	0.996525	0.000002	0.000327	0.996853	34.876150	0.0001	
2	ab1510_0010_011#2		1	2	7-Oct-2015 23:51:04	24C	0.996571	0.000002	0.000327	0.996898	34.877940	0.0001	
2	ab1510_0010_011#2		1	3	7-Oct-2015 23:51:40	24C	0.996516	0.000002	0.000327	0.996843	34.875760	0.0001	
3	ab1510_0010_011#3	010 3	1		7-Oct-2015 23:53:25	24C	0.996685	0.000003	0.000327	0.997012	34.882400	0.0001	
3	ab1510_0010_011#3		1	1	7-Oct-2015 23:53:27	24C	0.996685	0.000002	0.000327	0.997012	34.882400	0.0001	
3	ab1510_0010_011#3		1	2	7-Oct-2015 23:54:02	24C	0.996677	0.000004	0.000327	0.997004	34.882090	0.0002	
