SampleNumber	SampleID	BottleLabel	SampleType	ReadingNumber	DateTime	BathTemperature	UncorrectedRatio	UncorrectedRatioStandDev	Correction	AdjustedRatio	CalculatedSalinity	CalculatedSalinityStandDev	Comments
1	Calibration#1	p158	0		19-Oct-2015 05:02:50	24C	0.999324	0.000004	0.000376	0.999700	0.000000	0.0000	
1	Calibration#1		0	1	19-Oct-2015 05:02:51	24C	0.999324	0.000004	0.000376	0.999700	0.000000	0.0000	
2	Calibration#2	p158	0		19-Oct-2015 05:03:37	24C	0.999331	0.000003	0.000369	0.999700	0.000000	0.0000	
2	Calibration#2		0	1	19-Oct-2015 05:03:38	24C	0.999331	0.000003	0.000369	0.999700	0.000000	0.0000	
3	Calibration#3	p158	0		19-Oct-2015 05:04:25	24C	0.999340	0.000005	0.000360	0.999700	0.000000	0.0000	
3	Calibration#3		0	1	19-Oct-2015 05:04:25	24C	0.999340	0.000005	0.000360	0.999700	0.000000	0.0000	
4	Calibration#4	p158	0		19-Oct-2015 05:05:36	24C	0.999329	0.000002	0.000371	0.999701	0.000000	0.0000	
4	Calibration#4		0	1	19-Oct-2015 05:05:37	24C	0.999329	0.000002	0.000371	0.999701	0.000000	0.0000	
5	Calibration#5	p158	0		19-Oct-2015 05:06:25	24C	0.999333	0.000003	0.000367	0.999700	0.000000	0.0000	
5	Calibration#5		0	1	19-Oct-2015 05:06:25	24C	0.999333	0.000003	0.000367	0.999700	0.000000	0.0000	
6	Calibration#6	p158	0		19-Oct-2015 05:07:20	24C	0.999318	0.000005	0.000382	0.999700	0.000000	0.0000	
6	Calibration#6		0	1	19-Oct-2015 05:07:20	24C	0.999318	0.000005	0.000382	0.999700	0.000000	0.0000	
1	ab1510_036_044#1	036 1	1		19-Oct-2015 05:10:08	24C	1.029821	0.000003	0.000382	1.030203	36.192020	0.0001	
1	ab1510_036_044#1		1	1	19-Oct-2015 05:10:12	24C	1.029827	0.000003	0.000382	1.030210	36.192280	0.0001	
1	ab1510_036_044#1		1	2	19-Oct-2015 05:10:56	24C	1.029817	0.000004	0.000382	1.030199	36.191870	0.0001	
1	ab1510_036_044#1		1	3	19-Oct-2015 05:11:39	24C	1.029818	0.000003	0.000382	1.030200	36.191910	0.0001	
2	ab1510_036_044#2	036 2	1		19-Oct-2015 05:14:04	24C	1.039301	0.000005	0.000382	1.039683	36.567490	0.0002	
2	ab1510_036_044#2		1	1	19-Oct-2015 05:14:08	24C	1.039291	0.000007	0.000382	1.039673	36.567120	0.0003	
2	ab1510_036_044#2		1	2	19-Oct-2015 05:14:48	24C	1.039308	0.000003	0.000382	1.039690	36.567790	0.0001	
2	ab1510_036_044#2		1	3	19-Oct-2015 05:15:29	24C	1.039303	0.000007	0.000382	1.039685	36.567580	0.0003	
3	ab1510_036_044#3	036 2	1		19-Oct-2015 05:17:39	24C	1.039297	0.000004	0.000382	1.039679	36.567350	0.0002	
3	ab1510_036_044#3		1	1	19-Oct-2015 05:17:41	24C	1.039301	0.000004	0.000382	1.039683	36.567500	0.0002	
